sentence_incorrect,sentence_correct,wrong,correct
"După cel deal doilea război mondial  și instaurarea regimului comunist, sistemul educațional liberal a fost înlocuit cu un sistem de tip sovietic, bazat pe ideologie și îndoctrinarea de masă.","După cel de-al doilea război mondial  și instaurarea regimului comunist, sistemul educațional liberal a fost înlocuit cu un sistem de tip sovietic, bazat pe ideologie și îndoctrinarea de masă.",deal,de-al
"Luchian Cobiliță a fost ales ca deputat al țăranilor bucovineni în Dieta de la Viena a Imperiului Habsburgic, find eliberat astfel din închisoare.","Luchian Cobiliță a fost ales ca deputat al țăranilor bucovineni în Dieta de la Viena a Imperiului Habsburgic, fiind eliberat astfel din închisoare.",find,fiind
O marcă înregistrată la OSIM  este valabilă doar pentru teritoriul țări.,O marcă înregistrată la OSIM  este valabilă doar pentru teritoriul țării.,țări.,țării.
"Deși atât cavaleria  austriacă cuprindeau elemente de miliții Landwehr, în general de calitate indoielnică, acestea erau nesemnificative ca număr la Wagram, unde Arhiducele beneficia de cele mai bune trupe de care dispunea Imperiul la acel moment.","Deși atât cavaleria  austriacă cuprindeau elemente de miliții Landwehr, în general de calitate îndoielnică, acestea erau nesemnificative ca număr la Wagram, unde Arhiducele beneficia de cele mai bune trupe de care dispunea Imperiul la acel moment.","indoielnică,","îndoielnică,"
Împreună cu unul din frați săi a debutat în sport ca juniori la echipa de fotbal de la STB (actualul RATB).,Împreună cu unul din frații săi a debutat în sport ca juniori la echipa de fotbal de la STB (actualul RATB).,frați,frații
Aș dorii un mic ajutor pentru trecerea formulelor dela „Amestec respirator Nitrox” în formulă matematică.,Aș dori un mic ajutor pentru trecerea formulelor dela „Amestec respirator Nitrox” în formulă matematică.,dorii,dori
Săi ținem pumnii să se distreze.,Să-i ținem pumnii să se distreze.,Săi,Să-i
"Marca Comunitară nu anulează înregistrarea unei mărci la nivel național, ele pot funcționa în paralel fără să se influențeze una pe cealalaltă.","Marca Comunitară nu anulează înregistrarea unei mărci la nivel național, ele pot funcționa în paralel fără să se influențeze una pe cealaltă.",cealalaltă.,cealaltă.
A câștigat toate drepturiile de membru exceptând dreptul la vot.,A câștigat toate drepturile de membru exceptând dreptul la vot.,drepturiile,drepturile
"Dacă aveți dumneavoastră (nu doar amintiri, ci documente ce pot fii citate) le puteți adăuga.","Dacă aveți dumneavoastră (nu doar amintiri, ci documente ce pot fi citate) le puteți adăuga.",fii,fi
"Invenția constă în crearea unei noi configurații, compoziții sau materi, dispozitiv sau proces.","Invenția constă în crearea unei noi configurații, compoziții sau materii, dispozitiv sau proces.","materi,","materii,"
Cum se descurcă alții lideri femei?,Cum se descurcă alți lideri femei?,alții,alți
Aceste două rampe de lansare a fost folosite prima dată in 1967 și sunt folosite și astăzi.,Aceste două rampe de lansare au fost folosite prima dată in 1967 și sunt folosite și astăzi.,a,au
"Interesanta piesă de mobilier cultic – tetrapodul pictat, este o mărturie că semnatarul ei, din 1824, Porfirie Șarlea de la Feisa, sa aflat alături de tatăl său Ban Vasilie, la împodobirea lăcașului.","Interesanta piesă de mobilier cultic – tetrapodul pictat, este o mărturie că semnatarul ei, din 1824, Porfirie Șarlea de la Feisa, s-a aflat alături de tatăl său Ban Vasilie, la împodobirea lăcașului.",sa,s-a
Aceasta a luat naștere datorită unui amendament constituțional din 2003 care a permis parlamentului să facă serviciul militar opțional.,Aceasta a luat naștere datorită unui amendament constituțional din 2003 care a permis Parlamentului să facă serviciul militar opțional.,parlamentului,Parlamentului
"Apoi, la o săptămâna, capsula Liberty Bell 7 cu Virgil Ivan Grissom la bord, a pornit întrun zbor suborbital.","Apoi, la o săptămâna, capsula Liberty Bell 7 cu Virgil Ivan Grissom la bord, a pornit într-un zbor suborbital.",întrun,într-un
"Totuși, inovațiile în servicii sunt posibile și făra inovare tehnologică sau pot încorpora un conținut tehnologic limitat.","Totuși, inovațiile în servicii sunt posibile și fără inovare tehnologică sau pot încorpora un conținut tehnologic limitat.",făra,fără
"Comisia Rogers a oferit nouă recomandării pentru îmbunătățirea siguranței programului Space Shuttle, iar Președintele Reagan a cerut NASA să prezinte în treizeci de zile un raport în care să arate cum plănuiește să implementeze aceste recomandări.","Comisia Rogers a oferit nouă recomandări pentru îmbunătățirea siguranței programului Space Shuttle, iar Președintele Reagan a cerut NASA să prezinte în treizeci de zile un raport în care să arate cum plănuiește să implementeze aceste recomandări.",recomandării,recomandări
Whirlpool este cel mai mare producător de electrocasnice dintre lume.,Whirlpool este cel mai mare producător de electrocasnice din lume.,dintre,din
"Atenție: uneori vandali modifică pagina de mai multe ori la rînd, alteori pagina este vandalizată de la adrese IP diferite.","Atenție: uneori vandalii modifică pagina de mai multe ori la rînd, alteori pagina este vandalizată de la adrese IP diferite.",vandali,vandalii
La maturitate Annie (Kidman) și Baxter (Bateman) se străduiesc să își găsească propria identitate.,"La maturitate, Annie (Kidman) și Baxter (Bateman) se străduiesc să își găsească propria identitate.",maturitate,"maturitate,"
De ce țiai lansat noua compilație Transience pe vinil?,De ce ți-ai lansat noua compilație Transience pe vinil?,țiai,ți-ai
"Astfel, a fost o educație religioasa sau de breaslă.","Astfel, a fost o educație religioasă sau de breaslă.",religioasa,religioasă
ZDI: În ziua de astăzi imaginea unui oraș contează extrem de mult.,"ZDI: În ziua de astăzi, imaginea unui oraș contează extrem de mult.",astăzi,"astăzi,"
"Camerele sunt dotate cu internet, cablu TV, chiuveta și frigider.","Camerele sunt dotate cu internet, cablu TV, chiuvetă și frigider.",chiuveta,chiuvetă
"După Revoluția română din 1989, din cauza lipsei de fonduri, multe unități au fost desfințate și multe echipamente au fost eliminate.","După Revoluția română din 1989, din cauza lipsei de fonduri, multe unități au fost desființate și multe echipamente au fost eliminate.",desfințate,desființate
"Riscul de a obține arome dezagreabile-de „redus”, de etanal etc-este mult mai mare în cazul levuriilor indigene, decât în cazul levurilor selecționate.","Riscul de a obține arome dezagreabile-de „redus”, de etanal etc-este mult mai mare în cazul levurilor indigene, decât în cazul levurilor selecționate.",levuriilor,levurilor
Moshe Spitzer l-a angajat pe Arikha in ilustrarea a numeroase cărți clasice publicate de editura sa (vezi mai jos Ilustrați).,Moshe Spitzer l-a angajat pe Arikha in ilustrarea a numeroase cărți clasice publicate de editura sa (vezi mai jos Ilustrații).,Ilustrați).,Ilustrații).
Eu cred că brandul ar trebui să fie în zona de ștințe mă refer aici la brandul modern al orașului.,"Eu cred că brandul ar trebui să fie în zona de științe, mă refer aici la brandul modern al orașului.",ștințe,"științe,"
"Actual oferă cicluriile de licență, masterat  și doctorat.","Actual oferă ciclurile de licență, masterat  și doctorat.",cicluriile,ciclurile
Obama vorbește despre terorism și criza imigranțiilor cu regele Spaniei,Obama vorbește despre terorism și criza imigranților cu regele Spaniei,imigranțiilor,imigranților
"„Speram că vor cerceta casa nu am fost informați că o vor face”, a spus ea.","„Speram că vor cerceta casa, nu am fost informați că o vor face”, a spus ea.",casa,"casa,"
"Martin a rămas membru al trupei de Arch Enemy între 1997 și 1998, cântând la chitară bas pe cel deal doilea album al lor, Stigmata.","Martin a rămas membru al trupei de Arch Enemy între 1997 și 1998, cântând la chitară bas pe cel de-al doilea album al lor, Stigmata.",deal,de-al
"Scurgerile nu sunt aceptabile, deoarece se corectează foarte greu.","Scurgerile nu sunt acceptabile, deoarece se corectează foarte greu.","aceptabile,","acceptabile,"
"A scris o proză picarescă pe teme din literatura spaniolă  (din care a efectuat și traduceri), manifestând o bogată imaginație, ingeniozitate în utilizarea resurselor realiste, vizibiil mai ales în portretizările sale.","A scris o proză picarescă pe teme din literatura spaniolă  (din care a efectuat și traduceri), manifestând o bogată imaginație, ingeniozitate în utilizarea resurselor realiste, vizibil mai ales în portretizările sale.",vizibiil,vizibil
Mă uitam la el ca la un om din altă lume: avea pereți casei acoperiți cu rafturi burdușite de cărți.,Mă uitam la el ca la un om din altă lume: avea pereții casei acoperiți cu rafturi burdușite de cărți.,pereți,pereții
"Omul adevărat, însă, tocmai prin asta se deosebeste de animale.","Omul adevărat, însă, tocmai prin asta se deosebește de animale.",deosebeste,deosebește
Vrea să devină puternic și să își continue studile în Regatul Unit.,Vrea să devină puternic și să își continue studiile în Regatul Unit.,studile,studiile
Se pare că cea dintâi nu încercă de loc să pună capăt izolări ei.,Se pare că cea dintâi nu încercă de loc să pună capăt izolării ei.,izolări,izolării
"Sistemul nervos este situat în profunzime epiteliului dermal sau în epiteliul unor regiuni din peretele corpului, invaginate în interior.","Sistemul nervos este situat în profunzimea epiteliului dermal sau în epiteliul unor regiuni din peretele corpului, invaginate în interior.",profunzime,profunzimea
E importantă educarea și oferirea sprijin emoțional îngrijiitorului.,E importantă educarea și oferirea sprijin emoțional îngrijitorului.,îngrijiitorului.,îngrijitorului.
"Sever Frențiu (n. 15 noiembrie  1931, Săcuieni, județul Bihor-d. 6 noiembrie  1997, Arad ) a fost un pictor și scenograf  roman.","Sever Frențiu (n. 15 noiembrie  1931, Săcuieni, județul Bihor-d. 6 noiembrie  1997, Arad ) a fost un pictor și scenograf  român.",roman.,român.
"Stadionul Astra este un stadion din ploiești, România.","Stadionul Astra este un stadion din Ploiești, România.","ploiești,","Ploiești,"
România este situata pe locul 47 din 131 țări.,România este situată pe locul 47 din 131 țări.,situata,situată
"Dacă aveți la preferințe întrodusă o adresă de email, vă puteți trimite la această adresă parola pierdută.","Dacă aveți la preferințe întrodusă o adresă de e-mail, vă puteți trimite la această adresă parola pierdută.","email,","e-mail,"
Este una din cele mai comune cauze de dizabilitate în cazul persoanel e vârstnice.,Este una dintre cele mai comune cauze de dizabilitate în cazul persoanel e vârstnice.,din,dintre
"În adevăr, ea nuși uita niciodată țara de naștere.","În adevăr, ea nu-și uita niciodată țara de naștere.",nuși,nu-și
Se înfințează punctul de lucru AdePlast care începe producția de adezivi de faianță.,Se înființează punctul de lucru AdePlast care începe producția de adezivi de faianță.,înfințează,înființează
Compania derulează operațiuni în 26 de țări  si folosește pentru promovare numele Ruukki.,Compania derulează operațiuni în 26 de țări  și folosește pentru promovare numele Ruukki.,si,și
"Temânduse de răzbunarea împăratului, Petronius se sinucide.","Temându-se de răzbunarea împăratului, Petronius se sinucide.",Temânduse,Temându-se
"Din lucrările actuale se desprinde o anumită neliniște, frământare, ce conferă nota originală al noilor sale abordări plastice.","Din lucrările actuale se desprinde o anumită neliniște, frământare, ce conferă nota originală a noilor sale abordări plastice.",al,a
"Micuța clădire și ingeniosul dispozitiv de scoatere a apei, anexate puțului de 60 m adâncime, pot fii înca admirate în aripa de sud-vest a castel ului.","Micuța clădire și ingeniosul dispozitiv de scoatere a apei, anexate puțului de 60 m adâncime, pot fi înca admirate în aripa de sud-vest a castel ului.",fii,fi
"Sunt conferințe evenimente de industrie în care poți ""vinde"" orașul.","Sunt conferințe, evenimente de industrie în care poți ""vinde"" orașul.",conferințe,"conferințe,"
"Măsurarea inovatiei Inovarea este o activitate complexa, cu multe componente care interacționează, iar procesul de inovare nu este ușor de cuantificat.","Măsurarea inovatiei Inovarea este o activitate complexă, cu multe componente care interacționează, iar procesul de inovare nu este ușor de cuantificat.","complexa,","complexă,"
Din fericire amândoi sunt în stare stabilă.,"Din fericire, amândoi sunt în stare stabilă.",fericire,"fericire,"
"Baițul nu posedă o funcție de protecție biologică, ignifug, de acea după uscarea completă a baițului suprafața lemnului trebuie finisată cu lac.","Baițul nu posedă o funcție de protecție biologică, ignifug, de aceea după uscarea completă a baițului suprafața lemnului trebuie finisată cu lac.",acea,aceea
"Ca un cadou pentru Tartuffe și o pedeapsă ulterioară pentru copilul lui, Orgon trece toate proprietățiile pe numele “prietenului său”.","Ca un cadou pentru Tartuffe și o pedeapsă ulterioară pentru copilul lui, Orgon trece toate proprietățile pe numele “prietenului său”.",proprietățiile,proprietățile
Se presupune că au fost victimele unei epidemi.,Se presupune că au fost victimele unei epidemii.,epidemi.,epidemii.
"În 1990, capitalul Merloni preluat Marcegaglia, furnizorul său de tuburi de oțel, care a detectat 7% din acțiuni.","În 1990, capitalul Merloni preluat Marcegaglia, furnizorul său de tuburi din oțel, care a detectat 7% din acțiuni.",de,din
"În decursul vremii, construcției i sau adus înnoiri, cu prilejul lucrărilor de reparație.","În decursul vremii, construcției i s-au adus înnoiri, cu prilejul lucrărilor de reparație.",sau,s-au
Jur că o săși găsească impresar după asta.,Jur că o să-și găsească impresar după asta.,săși,să-și
"El a fost urmat de fiul sau, Alexandru I, care a domnit de la 6 martie 1889 până pe 11 iunie 1903, când a fost asasinat de un grup de ofițeri.","El a fost urmat de fiul său, Alexandru I, care a domnit de la 6 martie 1889 până pe 11 iunie 1903, când a fost asasinat de un grup de ofițeri.","sau,","său,"
Am considerat că Kevin aborda un subiect foarte sensibil întrun mod foarte amuzant.,Am considerat că Kevin aborda un subiect foarte sensibil într-un mod foarte amuzant.,întrun,într-un
Aripa estică cuprinde un parter și doua etaje.,Aripa estică cuprinde un parter și două etaje.,doua,două
De menționat că din cele nouă medali patru au venit la Iași.,"De menționat că din cele nouă medalii, patru au venit la Iași.",medali,"medalii,"
Este povestea unui club profesionist de baseball din New York și a doi jucatori din echipă care sunt buni prieteni.,Este povestea unui club profesionist de baseball din New York și a doi jucători din echipă care sunt buni prieteni.,jucatori,jucători
Aceasta este administrată de OHIM  (Office for Harmonization in the Internal Market) care a fost introdus în 1996.,Acesta este administrată de OHIM  (Office for Harmonization in the Internal Market) care a fost introdus în 1996.,Aceasta,Acesta
Îl însoțește apoi pe Bonaparte  în campania din  gipt.,Îl însoțește apoi pe Bonaparte  în campania din Egipt.,gipt.,Egipt.
Azi nu se mai slujește în ea decât cu ocazia reparaților la cea nouă sau vara la sfințirea apei la diferite praznice.,Azi nu se mai slujește în ea decât cu ocazia reparațiilor la cea nouă sau vara la sfințirea apei la diferite praznice.,reparaților,reparațiilor
"În plus, calul este un simbol al orașului Cozmeni și a fost utilizat pe stemele orașului și în perioada în care orașul sa aflat sub Imperiul Austro-Ungar, precum și sub Regatul României; * În colțul din dreapta sus a scutului este amplasat un butoi argintiu înțepat de o semilună  argintie.","În plus, calul este un simbol al orașului Cozmeni și a fost utilizat pe stemele orașului și în perioada în care orașul s-a aflat sub Imperiul Austro-Ungar, precum și sub Regatul României; * În colțul din dreapta sus a scutului este amplasat un butoi argintiu înțepat de o semilună  argintie.",sa,s-a
"Alfabetizare a fost destul de scăzută, în toate provincile românești.","Alfabetizare a fost destul de scăzută, în toate provinciile românești.",provincile,provinciile
"A fost eliberat și el, deși nu figura pe listă, purtând numele și documentele altui copiil decedat între timp.","A fost eliberat și el, deși nu figura pe listă, purtând numele și documentele altui copil decedat între timp.",copiil,copil
"Unii au remarcat metafora lui Lucian Cociuba, alți predominanța figurativului.","Unii au remarcat metafora lui Lucian Cociuba, alții predominanța figurativului.",alți,alții
Naruhito sa căsătorit la 9 iunie 1993 cu Masako Owada  la Tokio.,Naruhito s-a căsătorit la 9 iunie 1993 cu Masako Owada  la Tokio.,sa,s-a
Mohamed descrie cum a scos patru elevii din amfiteatru în timp ce se desfășura carnagiul.,Mohamed descrie cum a scos patru elevi din amfiteatru în timp ce se desfășura carnagiul.,elevii,elevi
Creez portrete sau sculpturi folosindumi vederea cinică asupra problemelor contemporane.,Creez portrete sau sculpturi folosindu-mi vederea cinică asupra problemelor contemporane.,folosindumi,folosindu-mi
O munltitudine de cauze pot duce la apariția hidrocefaliei.,O multitudine de cauze pot duce la apariția hidrocefaliei.,munltitudine,multitudine
A fost ultimul prinț de Liechtenstein care a domnit sub Sfântul Imperiu Roman  între 1805 și 1806 și ca regent de liechtenstein din 1806 până în 1814.,A fost ultimul prinț de Liechtenstein care a domnit sub Sfântul Imperiu Roman  între 1805 și 1806 și ca regent de Liechtenstein din 1806 până în 1814.,liechtenstein,Liechtenstein
"La bărbatul matur, la care nu sa practicat circumcizia, sub prepuț se strânge un lubrifiant natural, format din celule moarte, sebum și apă, denumit smegmă, care are scopul de a proteja glandul.","La bărbatul matur, la care nu s-a practicat circumcizia, sub prepuț se strânge un lubrifiant natural, format din celule moarte, sebum și apă, denumit smegmă, care are scopul de a proteja glandul.",sa,s-a
"Oficiali, care cunoșteau investigația au spus că aceste cazuri sunt legate prin dovezi de ADN.",Oficialii care cunoșteau investigația au spus că aceste cazuri sunt legate prin dovezi de ADN.,"Oficiali,",Oficialii
"De aici, sperăm, efinirea artei sale, se poate realiza în spiritul pe carel subliniam.","De aici, sperăm, efinirea artei sale, se poate realiza în spiritul pe care-l subliniam.",carel,care-l
"Are formatnum:237 locuitorii, preponderent ucraineni  (huțuli).","Are formatnum:237 locuitori, preponderent ucraineni  (huțuli).","locuitorii,","locuitori,"
"Am încercat să discut cu dânsul despre această redenumire pe pagina sa de discuți acum o luna și jumătate, și încă nu a răspuns.","Am încercat să discut cu dânsul despre această redenumire pe pagina sa de discuții acum o luna și jumătate, și încă nu a răspuns.",discuți,discuții
Telefonul Android Dev este un dispozitiv cu SIM și hardware neblocate care este destinat dezvoltatoriilor avansați.,Telefonul Android Dev este un dispozitiv cu SIM și hardware neblocate care este destinat dezvoltatorilor avansați.,dezvoltatoriilor,dezvoltatorilor
Aceștea vor primi asistență în cadrul programului extins de reinstalare al guvernului.,Aceștia vor primi asistență în cadrul programului extins de reinstalare al guvernului.,Aceștea,Aceștia
Acțiunea se precipită căpătand cote dramatice.,Acțiunea se precipită căpătând cote dramatice.,căpătand,căpătând
Prin acel program sa reușit să se vândă undeva la 10 bucăți.,Prin acel program s-a reușit să se vândă undeva la 10 bucăți.,sa,s-a
"În aprilie 2007 a fost selectat primul în topul celor mai bune 50 de filme religioase, top realizat de revista church Times.","În aprilie 2007 a fost selectat primul în topul celor mai bune 50 de filme religioase, top realizat de revista Church Times.",church,Church
"Cum Prusia a decis că nu este prudent să se implice, austrieci au abandonat ofensiva din regiunea boemă și au mutat trupele la sud.","Cum Prusia a decis că nu este prudent să se implice, austriecii au abandonat ofensiva din regiunea boemă și au mutat trupele la sud.",austrieci,austriecii
Compania șia inaugurat reprezentanța din România în 1996.,Compania și-a inaugurat reprezentanța din România în 1996.,șia,și-a
"Admitere 2009, upt.ro, accesat 18 mai 2009  iar ordinea de admitere se stabilește pe baza unei note formate din media multianuală din liceu la matematică (40 %), fizică  (40 %) și media de la bacalaoreat (20 %).","Admitere 2009, upt.ro, accesat 18 mai 2009  iar ordinea de admitere se stabilește pe baza unei note formate din media multianuală din liceu la matematică (40 %), fizică  (40 %) și media de la bacalaureat (20 %).",bacalaoreat,bacalaureat
"Fără treapta S-IVB, Saturn INT-21 putea ridica doar 75 de tone, dar dată find masa Skylab, era mai mult decât suficient.","Fără treapta S-IVB, Saturn INT-21 putea ridica doar 75 de tone, dar dată fiind masa Skylab, era mai mult decât suficient.",find,fiind
Nu există profesor de literatură așa cum există profesor de matematică.,"Nu există profesor de literatură, așa cum există profesor de matematică.",literatură,"literatură,"
Dar trebuie să ne ridicăm din nou și să continuăm în ciuda dureri.,Dar trebuie să ne ridicăm din nou și să continuăm în ciuda durerii.,dureri.,durerii.
"Fond, nu forma.","Fond, nu formă.",forma.,formă.
În 1913 a fost înregistrate medicamentul Nevrosal și apa minerală Bușteni.,În 1913 au fost înregistrate medicamentul Nevrosal și apa minerală Bușteni.,a,au
"În același an, sora vitregă a lui Alfonso a renunțat pentru totdeauna la pretențile sale asupra Ducatului de Gasconia.","În același an, sora vitregă a lui Alfonso a renunțat pentru totdeauna la pretențiile sale asupra Ducatului de Gasconia.",pretențile,pretențiile
Din timp în timp datele sunt conprimate pe 8 biți (0-255) pentru un volum mai mic.,Din timp în timp datele sunt comprimate pe 8 biți (0-255) pentru un volum mai mic.,conprimate,comprimate
În cursul zile de mâine v-a ști sigur.,În cursul zile de mâine va ști sigur.,v-a,va
Modul în care furnizorul de servici interacționează cu clientul poate fi o sursă de inovație.,Modul în care furnizorul de servicii interacționează cu clientul poate fi o sursă de inovație.,servici,servicii
Un specialist de renume în etică din industria roboticii a lansat o campanie în care cere interzicerea dezvoltări roboților sexuali.,Un specialist de renume în etică din industria roboticii a lansat o campanie în care cere interzicerea dezvoltării roboților sexuali.,dezvoltări,dezvoltării
A debutat la Arad în anul 1932 în cadrul unei expoziți personale alături de Petru Feier.,A debutat la Arad în anul 1932 în cadrul unei expoziții personale alături de Petru Feier.,expoziți,expoziții
"După acidentul Challenger, Thiokol a „acceptat voluntar” plata despăgubirii pentru a nu fi forțată să răspundă pentru accident.","După accidentul Challenger, Thiokol a „acceptat voluntar” plata despăgubirii pentru a nu fi forțată să răspundă pentru accident.",acidentul,accidentul
"Bernard Salviati  obține autorizația de fortificare a castelului, apărând astfel drumul pentru patrule ce se vede dea lungul donjon ului pătrat.","Bernard Salviati  obține autorizația de fortificare a castelului, apărând astfel drumul pentru patrule ce se vede de-a lungul donjon ului pătrat.",dea,de-a
"Cât despre Rusia, se considera pe bună dreptate că acest stat, teoretic aliat al Franței, nu v-a întreprinde nimic împotriva posesiunilor austriece din est.","Cât despre Rusia, se considera pe bună dreptate că acest stat, teoretic aliat al Franței, nu va întreprinde nimic împotriva posesiunilor austriece din est.",v-a,va
"Trăsătură lângă trăsătură, decupând suprafețe pe albul coli, punându-le în relație, construind din secțiuni de mișcare și din fragmente de formă.","Trăsătură lângă trăsătură, decupând suprafețe pe albul colii, punându-le în relație, construind din secțiuni de mișcare și din fragmente de formă.","coli,","colii,"
"Problemele citate includeau buguri, lipsa de documentație, infrastructura de testare inadecvată, și lipsa unui sistem de gestionare a problemelor public.","Problemele citate includeau bug-uri, lipsa de documentație, infrastructura de testare inadecvată, și lipsa unui sistem de gestionare a problemelor public.","buguri,","bug-uri,"
Până în 2022 guvernul bulgar plănuiește să construiască 635 de kilometri de autostrăzi noi și să repare 17 000 de kilometri de șosele principale și secundare existente.,"Până în 2022, guvernul bulgar plănuiește să construiască 635 de kilometri de autostrăzi noi și să repare 17 000 de kilometri de șosele principale și secundare existente.",2022,"2022,"
"Dorin Timonea, „Bisericile din lemn, patrimoniu national in pericol”, România libera din 15 septembrie 2008.","Dorin Timonea, „Bisericile din lemn, patrimoniu national in pericol”, România liberă din 15 septembrie 2008.",libera,liberă
"Austrotherm este o companie producătoare de materiale termoizolante din Austria, înfințată în 1953.","Austrotherm este o companie producătoare de materiale termoizolante din Austria, înființată în 1953.",înfințată,înființată
În SUA multe inovați organizaționale au avut loc în distribuție.,În SUA multe inovații organizaționale au avut loc în distribuție.,inovați,inovații
"La aceea dată, viețuiau acolo 4 călugări.","La acea dată, viețuiau acolo 4 călugări.",aceea,acea
Cum lai ales pe Matt Berry să îți deschidă spectacolul în a doua noapte?,Cum l-ai ales pe Matt Berry să îți deschidă spectacolul în a doua noapte?,lai,l-ai
"Facultatea, având în jur de 2400 de studenți, are o bază materială corespunzătoare acestui număr, și o tradiție bogată, disciplinele studiate find predate din momentul înființării în 1920 a „Școalei Politehnice”.","Facultatea, având în jur de 2400 de studenți, are o bază materială corespunzătoare acestui număr, și o tradiție bogată, disciplinele studiate fiind predate din momentul înființării în 1920 a „Școalei Politehnice”.",find,fiind
"Dar chiar și bebelușii foarte mici pot supraviețui la ora actuală, dar funcțile lor vitale, care în mod normal sunt îngrijite în timpul sarcinii de către mamă, trebuie controlate artificial.","Dar chiar și bebelușii foarte mici pot supraviețui la ora actuală, dar funcțiile lor vitale, care în mod normal sunt îngrijite în timpul sarcinii de către mamă, trebuie controlate artificial.",funcțile,funcțiile
Liga a Iva Ilfov este principala competiție fotbalistică din județul Ilfov  organizată de AJF Ilfov.,Liga a IV-a Ilfov este principala competiție fotbalistică din județul Ilfov  organizată de AJF Ilfov.,Iva,IV-a
Costăchescu s-a hotărât s-o atace cu o torpilă  trasă dintrun tub de la pupa.,Costăchescu s-a hotărât s-o atace cu o torpilă  trasă dintr-un tub de la pupa.,dintrun,dintr-un
În 2006-2007 a urmat un program de formare pentru tineri diplomații în cadrul Ministerului Afacerilor Externe al Suediei.,În 2006-2007 a urmat un program de formare pentru tineri diplomați în cadrul Ministerului Afacerilor Externe al Suediei.,diplomații,diplomați
"Aceasta era nepoata lui, Teodora și el se apropii cu atât mai mult de ea, cu cât, mai fericită decât Irina, îi dădu un fiu.","Aceasta era nepoata lui, Teodora și el se apropie cu atât mai mult de ea, cu cât, mai fericită decât Irina, îi dădu un fiu.",apropii,apropie
"Byron își prezintă o parte din creațile sale pe site-ul ei personal, iar unele fotografii din expoziția publică Stray Doll din septembrie 2004 sunt disponibile la galeria Anno Domini.","Byron își prezintă o parte din creațiile sale pe site-ul ei personal, iar unele fotografii din expoziția publică Stray Doll din septembrie 2004 sunt disponibile la galeria Anno Domini.",creațile,creațiile
"Articolul a fost șters pentru că a fost tradus automat și din el nu se înțelege aproape nimic, majoritatea frazelor find în cel mai bun caz hilare.","Articolul a fost șters pentru că a fost tradus automat și din el nu se înțelege aproape nimic, majoritatea frazelor fiind în cel mai bun caz hilare.",find,fiind
O so reintroduc mai târziu dacă găsesc articolul în aceeași situație.,O s-o reintroduc mai târziu dacă găsesc articolul în aceeași situație.,so,s-o
